hhmm,sum(transactions)
1426,75
1427,120
1428,210
1429,255
1430,150
1431,300
1432,390
1433,345
1434,465
1435,480
1436,570
1437,570
1438,555
1439,465
1440,375
1441,390
1442,554
1443,614
1444,567
1445,600
1446,555
1447,555
1448,599
1449,555
1450,419
1451,510
1452,629
1453,583
1454,645
1455,465
1456,523
1457,465
1458,525
1459,450
1500,388
1501,194
1502,287
1503,562
1504,450
1505,449
1506,418
1507,552
1508,540
1509,510
1510,420
1511,389
1512,570
1513,420
1514,585
1515,510
1516,464
1517,480
1518,658
1519,269
1520,600
1521,330
1522,420
1523,240
1524,270
1525,360
1526,420
1527,508
1528,540
1529,390
1530,510
1531,510
1532,419
1533,480
1534,449
1535,539
1536,480
1537,480
1538,540
1539,508
1540,570
1541,570
1542,478
1543,600
1544,540
1545,569
1546,510
1547,599
1548,450
1549,508
1550,509
1551,450
1552,540
1553,570
1554,390
1555,570
1556,480
1557,390
1558,510
1559,570
1600,270
1601,358
1602,150
1603,510
1604,390
1605,389
1606,390
1607,419
1608,390
1609,360
1610,450
1611,360
1612,210
